X,Y,station_id,region_name,department_name,station_name,lon,lat,lon-lat-ID,pollutant_types
617906.351,6756869.08,FR34013,Loiret,Loiret,Gambetta,1.901139,47.907074,1.901-47.907,"NO, NO2, NOX as NO2, PM10"
626057.696,6762528.5,FR34017,Loiret,Loiret,Marigny-les-usages,2.009286,47.958972,2.009-47.959,O3
522880.506,6696387.276,FR34024,Indre-et-Loire,Indre-et-Loire,Joué lès Tours,0.653776,47.344132,0.654-47.344,"NO, NO2, NOX as NO2, O3, PM10, PM2.5"
525325.841,6704644.195,FR34025,Indre-et-Loire,Indre-et-Loire,La Bruyère,0.682941,47.419079,0.683-47.419,"NO, NO2, NOX as NO2"
528079.605,6710141.086,FR34026,Indre-et-Loire,Indre-et-Loire,Tours péri-urbaine,0.717342,47.469262,0.717-47.469,O3
526899.853,6701882.542,FR34028,Indre-et-Loire,Indre-et-Loire,Pompidou,0.704873,47.394643,0.705-47.395,"NO, NO2, NOX as NO2, PM10, PM2.5, PUF"
621054.445,6749124.254,FR34029,Loiret,Loiret,La_Source-CNRS,1.944658,47.837765,1.945-47.838,"NO, NO2, NOX as NO2, O3, PM10, PM2.5, PUF"
655016.913,6664034.902,FR34030,Cher,Cher,Bourges-Baffier,2.407183,47.075044,2.407-47.075,"NO, NO2, NOX as NO2, PM10"
657415.689,6661638.852,FR34032,Cher,Cher,Leblanc,2.43901889925295,47.0536302408334,2.439-47.054,"NO, NO2, NOX as NO2, O3, PM10, PM2.5"
670268.921,6635023.16,FR34038,Cher,Cher,Verneuil,2.610068,46.814695,2.610-46.815,"NH3, NO, NO2, NOX as NO2, O3, PM2.5"
589825.845,6817055.651,FR34041,Eure-et-Loir,Eure-et-Loir,Fulbert,1.510147,48.444422,1.510-48.444,"O3, PM10, PM2.5"
622688.14,6810604.991,FR34043,Eure-et-Loir,Eure-et-Loir,Oysonville,1.955625,48.39114,1.956-48.391,"NH3, NO, NO2, NOX as NO2, O3, SO2"
579269.656,6848985.402,FR34046,Eure-et-Loir,Eure-et-Loir,Dreux Centre,1.358463,48.7297,1.358-48.730,"NO, NO2, NOX as NO2, O3, PM10, PM2.5"
570169.062,6852650.454,FR34047,Eure-et-Loir,Eure-et-Loir,Saint-Remy,1.23365,48.76089,1.234-48.761,"CO, NO, NO2, NOX as NO2, PM10"
588523.847,6817616.206,FR34048,Eure-et-Loir,Eure-et-Loir,Chartres_trafic,1.4924,48.4492417,1.492-48.449,"NO, NO2, NOX as NO2, PM2.5"
600329.254,6633950.029,FR34051,Indre,Indre,Chateauroux Sud,1.69313,46.798267,1.693-46.798,"NO, NO2, NOX as NO2, O3, PM10, PM2.5"
579545.938,6675643.309,FR34054,Indre,Indre,Faverolles,1.40968,47.170154,1.410-47.170,O3
606454.788,6641212.614,FR34056,Indre,Indre,Montierchaume,1.771953,46.864535,1.772-46.865,O3
572453.986,6722912.267,FR34061,Loir-et-Cher,Loir-et-Cher,Blois nord,1.302662,47.594251,1.303-47.594,"NO, NO2, NOX as NO2, O3, PM10, PM2.5"
574562.067,6722425.836,FR34063,Loir-et-Cher,Loir-et-Cher,Blois_trafic,1.330844,47.590278,1.331-47.590,"NO, NO2, PM2.5"
680469.606,6767248.472,FR34064,Loiret,Loiret,Montargis_trafic,2.7381,48.005331,2.738-48.005,"NO, NO2, NOX as NO2, PM2.5"
679584.245,6768270.366,FR34066,Loiret,Loiret,Montargis_Les_Cites,2.72618000000006,48.0145,2.726-48.014,"NO, NO2, NOX as NO2, O3, PM10, PM2.5"
615835.017,6757251.099,FR34067,Loiret,Loiret,St-Jean-de-la-Ruelle,1.87334400000009,47.910249,1.873-47.910,"NO, NO2, NOX as NO2, PM10, PM2.5"
